Num;Topic;Advice;Sentence
245;Walking_in_the_city;Be cautious near vehicles;Don't walk too close to parked cars.
246;Walking_in_the_city;Don't rush;Take your time at crosswalks and intersections.
247;Walking_in_the_city;Respect traffic signals;Always obey traffic lights and signals.
248;Walking_in_the_city;Avoid walking alone at night;It's safer to walk with a friend in dark areas.
249;Walking_in_the_city;Pay attention to construction;Watch for construction zones and obey posted signs.
250;Walking_in_the_city;Keep headphones low;If you listen to music, keep the volume low enough to hear your environment.
251;Walking_in_the_city;Trust your instincts;If something feels off, change your route or seek help.
252;Walking_in_the_city;Stay in well-lit areas;Avoid dark alleyways and poorly lit streets at night.
253;Walking_in_the_city;Know the local emergency numbers;Familiarize yourself with local emergency contacts before heading out.
254;Walking_in_the_city;Plan your route ahead;Look up directions and possible hazards before you start walking.
255;Walking_in_the_city;Make eye contact;Establish eye contact with drivers before crossing.
256;Walking_in_the_city;Keep emergency contacts handy;Have a list of emergency contacts easily accessible.
257;Walking_in_the_city;Stay calm in crowds;Take deep breaths if walking through busy areas.
258;Walking_in_the_city;Stay Aware of Your Surroundings;Always look around before crossing the street.
259;Walking_in_the_city;Use Crosswalks Safely;Make sure to cross only at designated crosswalks.
260;Walking_in_the_city;Keep Your Head Up;Don't get distracted by your phone while walking.
261;Walking_in_the_city;Watch for Traffic Signals;Wait for the green pedestrian light before going.
262;Walking_in_the_city;Be Cautious at Intersections;Always check both ways before stepping off the curb.
263;Walking_in_the_city;Stay on Sidewalks;It's safer to walk on the sidewalk than the road.
264;Walking_in_the_city;Avoid Dark Alleys;Stick to well-lit streets, especially at night.
265;Walking_in_the_city;Wear Bright Clothing;Choose bright colors to enhance your visibility.
266;Walking_in_the_city;Keep Personal Items Secure;Always keep your bag close to you while walking.
267;Walking_in_the_city;Follow Local Laws;Adhere to local pedestrian rules and regulations.
268;Walking_in_the_city;Use Headphones Sparingly;Limit the volume on your headphones when walking.
269;Walking_in_the_city;Stay Alert to Cyclists;Look out for bicycles sharing the road with you.
270;Walking_in_the_city;Be Aware of Weather Conditions;Prepare for slippery sidewalks during rain or snow.
271;Walking_in_the_city;Avoid Distracting Conversations;Stay focused on your path when talking to friends.
272;Walking_in_the_city;Use GPS Wisely;Check your route before heading out to avoid getting lost.
273;Walking_in_the_city;Travel in Groups;If possible, walk with friends for added safety.
274;Walking_in_the_city;Know Emergency Contacts;Have important phone numbers saved in your phone.
275;Walking_in_the_city;Practice Street Smarts;Trust your instincts when something feels wrong.
276;Walking_in_the_city;Take Breaks if Needed;Rest in a safe location if you feel tired while walking.
